assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,None,None,0,58822,2,,0,0,0,0,0.0,260,117,3,,0,2,2.4,2.4,0,Cédric,0.0,0,0,0.0,275,120,1,False,0.0,266,119,0,,None,45,0,0,None,0,,58822.jpg,0.0,0,0,Alves Soares,0.3,False,None,a,1,3,0.0,220,96,0,459,459,2405,2405,0.0,0.0,Cédric,0
0,0,12,None,None,1,84450,None,,0,0,0,0,14.9,54,35,None,,0,3,2.1,2.1,2,Granit,2.0,0,0,3.4,88,47,3,False,16.6,68,23,90,,None,50,0,0,None,0,,84450.jpg,2.0,0,0,Xhaka,0.7,False,None,a,1,3,2.0,121,65,2,2458,2458,2639,2639,0.4,0.4,Xhaka,1
0,0,0,None,None,0,153256,None,,0,0,0,0,0.0,301,99,None,,0,3,1.5,1.5,0,Mohamed,0.0,0,0,0.0,315,99,4,False,0.0,306,94,0,,None,45,0,0,None,0,,153256.jpg,0.0,0,0,Elneny,1.1,False,None,a,1,3,0.0,265,84,0,1695,1695,6211,6211,0.0,0.0,Elneny,0
0,0,0,None,None,0,156074,None,,0,0,0,0,0.0,307,144,None,,0,2,2.4,2.4,0,Rob,0.0,0,0,0.0,320,147,5,False,0.0,311,146,0,,None,45,0,0,None,0,,156074.jpg,0.0,0,0,Holding,0.2,False,None,a,1,3,0.0,271,126,0,169,169,1316,1316,0.0,0.0,Holding,0
0,0,17,None,None,1,167199,None,,0,0,0,0,12.9,64,40,4,,0,3,2.1,2.1,3,Thomas,3.0,0,0,4.5,61,33,6,False,22.4,45,17,90,,None,50,0,0,None,0,,167199.jpg,3.0,0,0,Partey,0.6,False,None,a,1,3,10.0,68,42,3,3485,3485,2246,2246,0.6,0.6,Partey,0
0,0,9,None,None,1,184029,3,,0,0,0,0,8.3,81,48,1,,0,3,2.8,2.8,3,Martin,3.0,0,0,3.5,83,45,7,False,3.4,155,66,90,,None,65,0,0,None,0,,184029.jpg,3.0,0,0,Ødegaard,14.2,False,None,a,1,3,23.0,40,24,3,13407,13407,34142,34142,0.5,0.5,Ødegaard,0
0,0,3,100,75,0,192895,None,,0,0,0,0,0.2,176,64,None,,0,2,2.8,2.1,1,Kieran,1.0,0,0,0.6,176,65,8,False,6.0,137,62,7,,2022-08-04T15:00:05.276574Z,50,0,0,None,0,,192895.jpg,1.0,0,0,Tierney,1.3,False,None,a,1,3,0.0,444,196,1,725,725,7409,7409,0.2,0.2,Tierney,0
0,0,0,None,None,0,195735,None,,0,0,0,0,0.0,505,210,2,,0,3,2.5,2.5,0,Nicolas,0.0,0,0,0.0,506,211,9,False,0.0,502,209,0,,None,55,0,0,3,0,,195735.jpg,0.0,0,0,Pépé,0.4,False,None,a,1,3,0.0,499,208,0,653,653,3371,3371,0.0,0.0,Pépé,0
0,0,25,None,None,1,198869,None,,0,0,0,0,11.8,70,22,None,,0,2,2.4,2.4,5,Benjamin,5.0,0,0,4.3,66,19,10,False,31.2,29,9,90,,None,45,0,0,None,0,,198869.jpg,5.0,0,0,White,6.6,False,None,a,1,3,0.0,296,139,5,8079,8079,10374,10374,1.1,1.1,White,1
0,0,4,None,None,0,205533,None,,0,0,0,0,10.3,78,8,None,,0,4,2.7,2.7,1,Eddie,1.0,0,0,1.3,156,18,11,False,2.2,170,14,7,,None,70,0,0,None,0,,205533.jpg,1.0,0,0,Nketiah,0.8,False,None,a,1,3,0.0,551,52,1,1789,1789,6950,6950,0.1,0.1,Nketiah,0
